	input	simplification_1	simplification_2	choice
0	The legislative branch is responsible for making laws and consists of the House of Representatives and the Senate.	The legislative branch makes laws and has two parts: the House of Representatives and the Senate.	The legislative branch makes laws and includes the House of Representatives and the Senate.	1
1	The legislative branch is responsible for making laws and consists of the House of Representatives and the Senate.	The legislative branch makes laws and includes the House of Representatives and the Senate.	Congress is the branch of government that makes laws	2
2	The legislative branch is responsible for making laws and consists of the House of Representatives and the Senate.	The legislative branch makes laws and has two parts: the House of Representatives and the Senate.	Congress is the branch of government that makes laws	2
3	Water scarcity affects billions of people worldwide due to climate change and mismanagement.	Not having enough water affects a lot of people all over the world because of changes in the weather and not using water wisely.	Not enough water affects many people around the world because of climate change and not taking care of water properly.	2
4	Water scarcity affects billions of people worldwide due to climate change and mismanagement.	Not enough water affects many people around the world because of climate change and not taking care of water properly.	Water is scarce for those who can't get it	1
5	Water scarcity affects billions of people worldwide due to climate change and mismanagement.	Not having enough water affects a lot of people all over the world because of changes in the weather and not using water wisely.	Water is scarce for those who can't get it	1
6	Photosynthesis is the process by which green plants convert sunlight into energy.	Photosynthesis is how plants make energy from sunlight.	Plants turn sunlight into energy through photosynthesis.	1
7	Photosynthesis is the process by which green plants convert sunlight into energy.	Plants turn sunlight into energy through photosynthesis.	How plants make food and energy	1
8	Photosynthesis is the process by which green plants convert sunlight into energy.	Photosynthesis is how plants make energy from sunlight.	How plants make food and energy	1
9	The economic recession led to high unemployment and business closures across the country.	The economic recession made a lot of people lose their jobs and caused many businesses to close down in the whole country.	The recession caused many people to lose their jobs and businesses to close in the country.	2
10	The economic recession led to high unemployment and business closures across the country.	The recession caused many people to lose their jobs and businesses to close in the country.	The recession left many people out of work and closed many businesses	2
11	The economic recession led to high unemployment and business closures across the country.	The economic recession made a lot of people lose their jobs and caused many businesses to close down in the whole country.	The recession left many people out of work and closed many businesses	2
12	Gravity is a natural force that pulls objects toward each other.	Gravity is a force that makes things fall towards each other.	Gravity is a force that brings things together.	1
13	Gravity is a natural force that pulls objects toward each other.	Gravity is a force that brings things together.	Gravity keeps everything on the ground	2
14	Gravity is a natural force that pulls objects toward each other.	Gravity is a force that makes things fall towards each other.	Gravity keeps everything on the ground	2
15	The Supreme Court's decision set a legal precedent that affects future rulings.	The Supreme Court made a decision that will be used to make other decisions in the future.	The Supreme Court's decision creates a rule for future decisions.	1
16	The Supreme Court's decision set a legal precedent that affects future rulings.	The Supreme Court's decision creates a rule for future decisions.	Supreme Court made history in same-sex marriage ruling	1
17	The Supreme Court's decision set a legal precedent that affects future rulings.	The Supreme Court made a decision that will be used to make other decisions in the future.	Supreme Court made history in same-sex marriage ruling	1
18	Renewable energy sources like wind and solar are crucial to combating climate change.	Wind and solar power are important for fighting climate change.	Wind and solar energy are very important in fighting climate change.	2
19	Renewable energy sources like wind and solar are crucial to combating climate change.	Wind and solar energy are very important in fighting climate change.	Helping save the earth with wind, sun, and water	1
20	Renewable energy sources like wind and solar are crucial to combating climate change.	Wind and solar power are important for fighting climate change.	Helping save the earth with wind, sun, and water	1
21	Mitochondria are often referred to as the powerhouses of the cell.	Mitochondria are like the power plants of cells.	Mitochondria are like the batteries of the cell.	1
22	Mitochondria are often referred to as the powerhouses of the cell.	Mitochondria are like the batteries of the cell.	What makes mitochondria the powerhouses of the cell?	1
23	Mitochondria are often referred to as the powerhouses of the cell.	Mitochondria are like the power plants of cells.	What makes mitochondria the powerhouses of the cell?	1
24	Cultural exchange helps societies appreciate and learn from each other’s traditions.	When people from different cultures share their traditions, they can learn and appreciate each other's ways of life.	Sharing cultures helps people understand and learn from each other's traditions.	2
25	Cultural exchange helps societies appreciate and learn from each other’s traditions.	Sharing cultures helps people understand and learn from each other's traditions.	People can learn from others by sharing their traditions	1
26	Cultural exchange helps societies appreciate and learn from each other’s traditions.	When people from different cultures share their traditions, they can learn and appreciate each other's ways of life.	People can learn from others by sharing their traditions	2
27	Vaccines help prevent the spread of infectious diseases and protect communities.	Vaccines keep people from getting sick and help keep everyone healthy.	Vaccines stop sickness from spreading and keep people safe.	2
28	Vaccines help prevent the spread of infectious diseases and protect communities.	Vaccines stop sickness from spreading and keep people safe.	Protecting the public from disease	2
29	Vaccines help prevent the spread of infectious diseases and protect communities.	Vaccines keep people from getting sick and help keep everyone healthy.	Protecting the public from disease	1
